Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
AJG,Arthur J. Gallagher & Co.,Financials,14,9.1,7.73,6.89,5.25
ACN,Accenture plc,Information Technology,14,15.06,14.02,18.81,10.62
WCN,"Waste Connections, Inc.",Industrials,14,11.43,11.46,11.97,13.97
INTU,Intuit Inc.,Information Technology,14,15.44,15.15,14.03,16.39
HON,Honeywell International Inc.,Industrials,14,4.8,5.05,5.4,8.88
INDB,Independent Bank Corp.,Financials,14,3.64,5.9,5.32,9.04
POOL,Pool Corporation,Consumer Discretionary,14,9.31,16.41,17.49,18.66
PNW,Pinnacle West Capital Corporation,Utilities,14,1.73,1.91,3.38,4.41
HNI,HNI Corporation,Industrials,14,2.35,1.99,1.61,2.85
PRI,"Primerica, Inc.",Financials,14,26.93,20.63,19.4,21.27
CBT,Cabot Corporation,Materials,14,7.65,5.98,4.14,6.99
CBOE,"Cboe Global Markets, Inc.",Financials,14,12.39,9.45,11.99,11.71
AVY,Avery Dennison Corporation,Materials,14,8.5,9.06,8.83,9.92
USB,U.S. Bancorp,Financials,14,2.6,4.01,4.62,7.46
MA,Mastercard Incorporated,Information Technology,14,15.79,14.48,14.87,19.63
MAIN,Main Street Capital Corporation,Financials,14,14.76,8.38,5.38,4.65
APOG,"Apogee Enterprises, Inc.",Industrials,14,4.17,7.73,7.4,9.6
HOMB,"Home Bancshares, Inc. (Conway, AR)",Financials,14,4.17,10.23,8.02,15.67
GATX,GATX Corporation,Industrials,14,5.46,5.08,4.75,5.81
SCI,Service Corporation International,Consumer Discretionary,14,7.15,10.9,10.76,13.45
SPTN,SpartanNash Company,Consumer Staples,14,1.17,2.84,2.75,6.13
FAF,First American Financial Corporation,Financials,14,1.91,3.33,4.96,9.81
FFIN,"First Financial Bankshares, Inc.",Financials,14,1.41,7.48,9.14,10.11
RS,Reliance Steel & Aluminum Co.,Materials,14,10.01,16.97,14.87,12.14
FITB,Fifth Third Bancorp,Financials,14,5.89,8.1,8.91,10.94
GS,"The Goldman Sachs Group, Inc.",Financials,14,9.53,20.95,22.62,17.73
FMBH,"First Mid Bancshares, Inc.",Financials,14,2.18,3.42,4.35,5.51
STLD,"Steel Dynamics, Inc.",Materials,14,35.3,30.29,19.1,17.47
SXI,Standex International Corporation,Industrials,14,7.02,7.58,8.28,11.26
LAD,"Lithia Motors, Inc.",Consumer Discretionary,14,8.86,15.4,11.93,13.11
LFUS,"Littelfuse, Inc.",Information Technology,14,8.01,10.16,8.21,11.13
MAN,ManpowerGroup Inc.,Industrials,14,4.77,6.92,7.16,12.14
LMAT,"LeMaitre Vascular, Inc.",Health Care,14,14.29,13.31,13.49,16.42
TRNO,Terreno Realty Corporation,Real Estate,14,10.59,12.8,13.01,12.68
CHCO,City Holding Company,Financials,14,10.14,8.16,6.33,6.46
NSP,"Insperity, Inc.",Industrials,14,6.28,10.64,14.59,20.41
CME,CME Group Inc.,Financials,14,136.37,42.43,28.23,18.66
CSCO,"Cisco Systems, Inc.",Information Technology,14,2.59,2.66,2.88,7.95
